GO ID	GO Name	GO Category	FDR	P-Value	Population
GO:0055085	transmembrane transport	BIOLOGICAL_PROCESS	0.039380962	5.57E-04	Iquitos
GO:0007154	cell communication	BIOLOGICAL_PROCESS	0.04053668	5.76E-04	Iquitos
GO:0032147	activation of protein kinase activity	BIOLOGICAL_PROCESS	0.040675151	5.80E-04	Iquitos
GO:0045860	positive regulation of protein kinase activity	BIOLOGICAL_PROCESS	0.041489929	5.94E-04	Iquitos
GO:0006812	cation transport	BIOLOGICAL_PROCESS	0.042308761	6.09E-04	Iquitos
GO:0016769	transferase activity, transferring nitrogenous groups	MOLECULAR_FUNCTION	0.042308761	6.10E-04	Iquitos
GO:0080019	fatty-acyl-CoA reductase (alcohol-forming) activity	MOLECULAR_FUNCTION	0.042923964	6.21E-04	Iquitos
GO:0030417	nicotianamine metabolic process	BIOLOGICAL_PROCESS	0.042924669	6.34E-04	Iquitos
GO:0030418	nicotianamine biosynthetic process	BIOLOGICAL_PROCESS	0.042924669	6.34E-04	Iquitos
GO:0030410	nicotianamine synthase activity	MOLECULAR_FUNCTION	0.042924669	6.34E-04	Iquitos
GO:0018478	malonate-semialdehyde dehydrogenase (acetylating) activity	MOLECULAR_FUNCTION	0.042924669	6.34E-04	Iquitos
GO:0004491	methylmalonate-semialdehyde dehydrogenase (acylating) activity	MOLECULAR_FUNCTION	0.042924669	6.34E-04	Iquitos
GO:0072351	tricarboxylic acid biosynthetic process	BIOLOGICAL_PROCESS	0.042924669	6.34E-04	Iquitos
GO:0033273	response to vitamin	BIOLOGICAL_PROCESS	0.043694715	6.48E-04	Iquitos
GO:0019752	carboxylic acid metabolic process	BIOLOGICAL_PROCESS	0.044196313	6.58E-04	Iquitos
GO:0050769	positive regulation of neurogenesis	BIOLOGICAL_PROCESS	0.044196313	6.60E-04	Iquitos
GO:0010029	regulation of seed germination	BIOLOGICAL_PROCESS	0.044670751	6.69E-04	Iquitos
GO:0016324	apical plasma membrane	CELLULAR_COMPONENT	0.045651389	6.86E-04	Iquitos
GO:0006520	cellular amino acid metabolic process	BIOLOGICAL_PROCESS	0.045990109	6.94E-04	Iquitos
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	MOLECULAR_FUNCTION	0.046456074	7.05E-04	Iquitos
GO:0009817	defense response to fungus, incompatible interaction	BIOLOGICAL_PROCESS	0.046456074	7.06E-04	Iquitos
GO:0051051	negative regulation of transport	BIOLOGICAL_PROCESS	0.049309942	7.52E-04	Iquitos
GO:0051707	response to other organism	BIOLOGICAL_PROCESS	7.70E-06	8.04E-10	Marañon
GO:0043207	response to external biotic stimulus	BIOLOGICAL_PROCESS	7.70E-06	8.04E-10	Marañon
GO:0009607	response to biotic stimulus	BIOLOGICAL_PROCESS	1.52E-05	2.38E-09	Marañon
GO:0006952	defense response	BIOLOGICAL_PROCESS	5.13E-05	1.07E-08	Marañon
GO:0098542	defense response to other organism	BIOLOGICAL_PROCESS	4.45E-04	1.16E-07	Marañon
GO:0002831	regulation of response to biotic stimulus	BIOLOGICAL_PROCESS	0.006561642	2.28E-06	Marañon
GO:1900150	regulation of defense response to fungus	BIOLOGICAL_PROCESS	0.006561642	2.40E-06	Marañon
GO:0009605	response to external stimulus	BIOLOGICAL_PROCESS	0.015754242	6.58E-06	Marañon
GO:0031347	regulation of defense response	BIOLOGICAL_PROCESS	0.039143124	1.84E-05	Marañon
GO:0009620	response to fungus	BIOLOGICAL_PROCESS	0.041286692	2.16E-05	Marañon
GO:0050268	coniferyl-alcohol dehydrogenase activity	MOLECULAR_FUNCTION	1.06E-19	5.53E-24	Nacional
GO:0045551	cinnamyl-alcohol dehydrogenase activity	MOLECULAR_FUNCTION	1.08E-15	1.13E-19	Nacional
GO:0016899	oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor	MOLECULAR_FUNCTION	1.50E-13	2.35E-17	Nacional
GO:0042221	response to chemical	BIOLOGICAL_PROCESS	4.84E-13	1.01E-16	Nacional
GO:0050896	response to stimulus	BIOLOGICAL_PROCESS	2.97E-12	7.76E-16	Nacional
GO:0010033	response to organic substance	BIOLOGICAL_PROCESS	8.18E-11	2.56E-14	Nacional
GO:0009628	response to abiotic stimulus	BIOLOGICAL_PROCESS	1.14E-10	4.15E-14	Nacional
GO:1901700	response to oxygen-containing compound	BIOLOGICAL_PROCESS	1.38E-10	5.77E-14	Nacional
GO:0009725	response to hormone	BIOLOGICAL_PROCESS	6.16E-10	2.89E-13	Nacional
GO:0001101	response to acid chemical	BIOLOGICAL_PROCESS	5.41E-09	2.91E-12	Nacional
GO:0009719	response to endogenous stimulus	BIOLOGICAL_PROCESS	5.41E-09	3.11E-12	Nacional
GO:0006979	response to oxidative stress	BIOLOGICAL_PROCESS	3.83E-07	2.40E-10	Nacional
GO:0006950	response to stress	BIOLOGICAL_PROCESS	4.39E-07	3.08E-10	Nacional
GO:0051082	unfolded protein binding	MOLECULAR_FUNCTION	4.39E-07	3.21E-10	Nacional
GO:0007275	multicellular organism development	BIOLOGICAL_PROCESS	4.86E-07	3.81E-10	Nacional
GO:0009651	response to salt stress	BIOLOGICAL_PROCESS	1.36E-06	1.14E-09	Nacional
GO:0032502	developmental process	BIOLOGICAL_PROCESS	1.63E-06	1.45E-09	Nacional
GO:0065007	biological regulation	BIOLOGICAL_PROCESS	2.33E-06	2.19E-09	Nacional
GO:0048856	anatomical structure development	BIOLOGICAL_PROCESS	2.51E-06	2.49E-09	Nacional
GO:0032501	multicellular organismal process	BIOLOGICAL_PROCESS	4.29E-06	4.48E-09	Nacional
GO:0006970	response to osmotic stress	BIOLOGICAL_PROCESS	4.52E-06	4.96E-09	Nacional
GO:0016020	membrane	CELLULAR_COMPONENT	6.54E-06	7.52E-09	Nacional
GO:0042493	response to drug	BIOLOGICAL_PROCESS	8.49E-06	1.02E-08	Nacional
GO:0006633	fatty acid biosynthetic process	BIOLOGICAL_PROCESS	1.85E-05	2.47E-08	Nacional
GO:0006629	lipid metabolic process	BIOLOGICAL_PROCESS	1.85E-05	2.43E-08	Nacional
GO:0065008	regulation of biological quality	BIOLOGICAL_PROCESS	1.85E-05	2.91E-08	Nacional
GO:0033993	response to lipid	BIOLOGICAL_PROCESS	1.85E-05	2.80E-08	Nacional
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	MOLECULAR_FUNCTION	1.85E-05	2.91E-08	Nacional
GO:0050660	flavin adenine dinucleotide binding	MOLECULAR_FUNCTION	1.85E-05	2.68E-08	Nacional
GO:0097305	response to alcohol	BIOLOGICAL_PROCESS	1.85E-05	2.69E-08	Nacional
GO:0010286	heat acclimation	BIOLOGICAL_PROCESS	1.85E-05	3.00E-08	Nacional
GO:0048731	system development	BIOLOGICAL_PROCESS	2.00E-05	3.35E-08	Nacional
GO:0072330	monocarboxylic acid biosynthetic process	BIOLOGICAL_PROCESS	2.42E-05	4.16E-08	Nacional
GO:0010035	response to inorganic substance	BIOLOGICAL_PROCESS	2.76E-05	4.89E-08	Nacional
GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	MOLECULAR_FUNCTION	3.86E-05	7.21E-08	Nacional
GO:0046685	response to arsenic-containing substance	BIOLOGICAL_PROCESS	3.86E-05	7.26E-08	Nacional
GO:0046686	response to cadmium ion	BIOLOGICAL_PROCESS	5.18E-05	1.00E-07	Nacional
GO:0009753	response to jasmonic acid	BIOLOGICAL_PROCESS	5.37E-05	1.07E-07	Nacional
GO:0044444	cytoplasmic part	CELLULAR_COMPONENT	6.69E-05	1.36E-07	Nacional
GO:0005911	cell-cell junction	CELLULAR_COMPONENT	9.30E-05	1.94E-07	Nacional
GO:0000786	nucleosome	CELLULAR_COMPONENT	9.57E-05	2.09E-07	Nacional
GO:0046688	response to copper ion	BIOLOGICAL_PROCESS	9.57E-05	2.10E-07	Nacional
GO:0016491	oxidoreductase activity	MOLECULAR_FUNCTION	9.73E-05	2.18E-07	Nacional
GO:0044255	cellular lipid metabolic process	BIOLOGICAL_PROCESS	1.03E-04	2.37E-07	Nacional
GO:0070887	cellular response to chemical stimulus	BIOLOGICAL_PROCESS	1.21E-04	2.85E-07	Nacional
GO:0051259	protein complex oligomerization	BIOLOGICAL_PROCESS	1.53E-04	3.68E-07	Nacional
GO:0030054	cell junction	CELLULAR_COMPONENT	1.77E-04	4.34E-07	Nacional
GO:0042304	regulation of fatty acid biosynthetic process	BIOLOGICAL_PROCESS	1.96E-04	4.99E-07	Nacional
GO:0009791	post-embryonic development	BIOLOGICAL_PROCESS	1.96E-04	5.21E-07	Nacional
GO:0009506	plasmodesma	CELLULAR_COMPONENT	1.96E-04	5.17E-07	Nacional
GO:0055044	symplast	CELLULAR_COMPONENT	1.96E-04	5.17E-07	Nacional
GO:0032787	monocarboxylic acid metabolic process	BIOLOGICAL_PROCESS	3.00E-04	8.15E-07	Nacional
GO:0045471	response to ethanol	BIOLOGICAL_PROCESS	3.57E-04	9.88E-07	Nacional
GO:0005737	cytoplasm	CELLULAR_COMPONENT	3.66E-04	1.03E-06	Nacional
GO:0010038	response to metal ion	BIOLOGICAL_PROCESS	4.53E-04	1.30E-06	Nacional
GO:0045723	positive regulation of fatty acid biosynthetic process	BIOLOGICAL_PROCESS	6.72E-04	1.97E-06	Nacional
GO:0071456	cellular response to hypoxia	BIOLOGICAL_PROCESS	8.54E-04	2.54E-06	Nacional
GO:0005507	copper ion binding	MOLECULAR_FUNCTION	0.001135894	3.44E-06	Nacional
GO:0006631	fatty acid metabolic process	BIOLOGICAL_PROCESS	0.001145151	3.59E-06	Nacional
GO:0045923	positive regulation of fatty acid metabolic process	BIOLOGICAL_PROCESS	0.001145151	3.54E-06	Nacional
GO:0071944	cell periphery	CELLULAR_COMPONENT	0.001307475	4.16E-06	Nacional
GO:0036294	cellular response to decreased oxygen levels	BIOLOGICAL_PROCESS	0.001308325	4.24E-06	Nacional
GO:0009737	response to abscisic acid	BIOLOGICAL_PROCESS	0.001346967	4.43E-06	Nacional
GO:0000302	response to reactive oxygen species	BIOLOGICAL_PROCESS	0.00145159	4.85E-06	Nacional
GO:0008610	lipid biosynthetic process	BIOLOGICAL_PROCESS	0.001540719	5.23E-06	Nacional
GO:0044815	DNA packaging complex	CELLULAR_COMPONENT	0.001739868	6.00E-06	Nacional
GO:0080167	response to karrikin	BIOLOGICAL_PROCESS	0.001776248	6.21E-06	Nacional
GO:0009644	response to high light intensity	BIOLOGICAL_PROCESS	0.001801423	6.40E-06	Nacional
GO:0048316	seed development	BIOLOGICAL_PROCESS	0.002017396	7.27E-06	Nacional
GO:0003006	developmental process involved in reproduction	BIOLOGICAL_PROCESS	0.002140609	7.82E-06	Nacional
GO:0009408	response to heat	BIOLOGICAL_PROCESS	0.002174061	8.06E-06	Nacional
GO:0005886	plasma membrane	CELLULAR_COMPONENT	0.002457416	9.24E-06	Nacional
GO:0019217	regulation of fatty acid metabolic process	BIOLOGICAL_PROCESS	0.002539416	9.68E-06	Nacional
GO:0042592	homeostatic process	BIOLOGICAL_PROCESS	0.002628291	1.02E-05	Nacional
GO:0051716	cellular response to stimulus	BIOLOGICAL_PROCESS	0.00277765	1.09E-05	Nacional
GO:0044283	small molecule biosynthetic process	BIOLOGICAL_PROCESS	0.00292416	1.16E-05	Nacional
GO:0050789	regulation of biological process	BIOLOGICAL_PROCESS	0.002955939	1.21E-05	Nacional
GO:0010200	response to chitin	BIOLOGICAL_PROCESS	0.002955939	1.22E-05	Nacional
GO:0010154	fruit development	BIOLOGICAL_PROCESS	0.002955939	1.22E-05	Nacional
GO:0044281	small molecule metabolic process	BIOLOGICAL_PROCESS	0.003343748	1.40E-05	Nacional
GO:0051707	response to other organism	BIOLOGICAL_PROCESS	0.003353635	1.44E-05	Nacional
GO:0043207	response to external biotic stimulus	BIOLOGICAL_PROCESS	0.003353635	1.44E-05	Nacional
GO:0009266	response to temperature stimulus	BIOLOGICAL_PROCESS	0.00393551	1.71E-05	Nacional
GO:0009605	response to external stimulus	BIOLOGICAL_PROCESS	0.004026823	1.77E-05	Nacional
GO:0050636	vinorine synthase activity	MOLECULAR_FUNCTION	0.004229342	1.92E-05	Nacional
GO:0072376	protein activation cascade	BIOLOGICAL_PROCESS	0.004229342	1.92E-05	Nacional
GO:0071453	cellular response to oxygen levels	BIOLOGICAL_PROCESS	0.004229342	1.91E-05	Nacional
GO:0018454	acetoacetyl-CoA reductase activity	MOLECULAR_FUNCTION	0.004770473	2.22E-05	Nacional
GO:0045703	ketoreductase activity	MOLECULAR_FUNCTION	0.004770473	2.22E-05	Nacional
GO:0009617	response to bacterium	BIOLOGICAL_PROCESS	0.005744274	2.70E-05	Nacional
GO:0016166	phytoene dehydrogenase activity	MOLECULAR_FUNCTION	0.005968575	2.84E-05	Nacional
GO:0005515	protein binding	MOLECULAR_FUNCTION	0.006004585	2.88E-05	Nacional
GO:0099402	plant organ development	BIOLOGICAL_PROCESS	0.00693946	3.37E-05	Nacional
GO:0000788	nuclear nucleosome	CELLULAR_COMPONENT	0.007367919	3.62E-05	Nacional
GO:0065003	protein-containing complex assembly	BIOLOGICAL_PROCESS	0.009218766	4.60E-05	Nacional
GO:0043436	oxoacid metabolic process	BIOLOGICAL_PROCESS	0.009218766	4.62E-05	Nacional
GO:0016053	organic acid biosynthetic process	BIOLOGICAL_PROCESS	0.010660022	5.51E-05	Nacional
GO:0042561	alpha-amyrin synthase activity	MOLECULAR_FUNCTION	0.010660022	5.47E-05	Nacional
GO:0046394	carboxylic acid biosynthetic process	BIOLOGICAL_PROCESS	0.010660022	5.51E-05	Nacional
GO:0043168	anion binding	MOLECULAR_FUNCTION	0.010799123	5.64E-05	Nacional
GO:0006082	organic acid metabolic process	BIOLOGICAL_PROCESS	0.011538673	6.09E-05	Nacional
GO:0046345	abscisic acid catabolic process	BIOLOGICAL_PROCESS	0.011654952	6.27E-05	Nacional
GO:0043290	apocarotenoid catabolic process	BIOLOGICAL_PROCESS	0.011654952	6.27E-05	Nacional
GO:0005576	extracellular region	CELLULAR_COMPONENT	0.011769627	6.51E-05	Nacional
GO:0043933	protein-containing complex subunit organization	BIOLOGICAL_PROCESS	0.011769627	6.39E-05	Nacional
GO:0009607	response to biotic stimulus	BIOLOGICAL_PROCESS	0.011769627	6.46E-05	Nacional
GO:0019752	carboxylic acid metabolic process	BIOLOGICAL_PROCESS	0.011784919	6.58E-05	Nacional
GO:0009987	cellular process	BIOLOGICAL_PROCESS	0.012041114	6.79E-05	Nacional
GO:0009695	jasmonic acid biosynthetic process	BIOLOGICAL_PROCESS	0.013129991	7.47E-05	Nacional
GO:0044464	cell part	CELLULAR_COMPONENT	0.013474628	7.74E-05	Nacional
GO:0005623	cell	CELLULAR_COMPONENT	0.0136519	7.91E-05	Nacional
GO:0043167	ion binding	MOLECULAR_FUNCTION	0.013824245	8.08E-05	Nacional
GO:0048878	chemical homeostasis	BIOLOGICAL_PROCESS	0.014242946	8.40E-05	Nacional
GO:0022607	cellular component assembly	BIOLOGICAL_PROCESS	0.014439154	8.59E-05	Nacional
GO:0036293	response to decreased oxygen levels	BIOLOGICAL_PROCESS	0.014942793	8.97E-05	Nacional
GO:0050821	protein stabilization	BIOLOGICAL_PROCESS	0.015156628	9.18E-05	Nacional
GO:0046189	phenol-containing compound biosynthetic process	BIOLOGICAL_PROCESS	0.01519477	9.36E-05	Nacional
GO:0044424	intracellular part	CELLULAR_COMPONENT	0.01519477	9.36E-05	Nacional
GO:0043621	protein self-association	MOLECULAR_FUNCTION	0.016343051	1.02E-04	Nacional
GO:0005622	intracellular	CELLULAR_COMPONENT	0.016343051	1.02E-04	Nacional
GO:0050794	regulation of cellular process	BIOLOGICAL_PROCESS	0.016886687	1.07E-04	Nacional
GO:0016107	sesquiterpenoid catabolic process	BIOLOGICAL_PROCESS	0.018259092	1.16E-04	Nacional
GO:0009793	embryo development ending in seed dormancy	BIOLOGICAL_PROCESS	0.020781423	1.33E-04	Nacional
GO:0007154	cell communication	BIOLOGICAL_PROCESS	0.020796488	1.35E-04	Nacional
GO:0048608	reproductive structure development	BIOLOGICAL_PROCESS	0.021680389	1.42E-04	Nacional
GO:0061458	reproductive system development	BIOLOGICAL_PROCESS	0.021827182	1.44E-04	Nacional
GO:0009642	response to light intensity	BIOLOGICAL_PROCESS	0.02184084	1.45E-04	Nacional
GO:0016165	linoleate 13S-lipoxygenase activity	MOLECULAR_FUNCTION	0.022008255	1.47E-04	Nacional
GO:0009416	response to light stimulus	BIOLOGICAL_PROCESS	0.022346682	1.51E-04	Nacional
GO:0031490	chromatin DNA binding	MOLECULAR_FUNCTION	0.023423452	1.59E-04	Nacional
GO:0070482	response to oxygen levels	BIOLOGICAL_PROCESS	0.02425591	1.66E-04	Nacional
GO:0006721	terpenoid metabolic process	BIOLOGICAL_PROCESS	0.026434354	1.83E-04	Nacional
GO:0009314	response to radiation	BIOLOGICAL_PROCESS	0.026434354	1.84E-04	Nacional
GO:0071310	cellular response to organic substance	BIOLOGICAL_PROCESS	0.026434354	1.85E-04	Nacional
GO:0010294	abscisic acid glucosyltransferase activity	MOLECULAR_FUNCTION	0.026436428	1.86E-04	Nacional
GO:0019748	secondary metabolic process	BIOLOGICAL_PROCESS	0.026578454	1.89E-04	Nacional
GO:1990542	mitochondrial transmembrane transport	BIOLOGICAL_PROCESS	0.027578574	1.97E-04	Nacional
GO:1902644	tertiary alcohol metabolic process	BIOLOGICAL_PROCESS	0.028718905	2.07E-04	Nacional
GO:0046677	response to antibiotic	BIOLOGICAL_PROCESS	0.028737344	2.09E-04	Nacional
GO:0051865	protein autoubiquitination	BIOLOGICAL_PROCESS	0.032189735	2.36E-04	Nacional
GO:0022804	active transmembrane transporter activity	MOLECULAR_FUNCTION	0.032189735	2.37E-04	Nacional
GO:0071806	protein transmembrane transport	BIOLOGICAL_PROCESS	0.032932522	2.44E-04	Nacional
GO:0044550	secondary metabolite biosynthetic process	BIOLOGICAL_PROCESS	0.033931434	2.53E-04	Nacional
GO:0032993	protein-DNA complex	CELLULAR_COMPONENT	0.034874213	2.62E-04	Nacional
GO:0046890	regulation of lipid biosynthetic process	BIOLOGICAL_PROCESS	0.035162564	2.66E-04	Nacional
GO:0000003	reproduction	BIOLOGICAL_PROCESS	0.035867578	2.77E-04	Nacional
GO:0010597	green leaf volatile biosynthetic process	BIOLOGICAL_PROCESS	0.035867578	2.77E-04	Nacional
GO:0019372	lipoxygenase pathway	BIOLOGICAL_PROCESS	0.035867578	2.77E-04	Nacional
GO:0055082	cellular chemical homeostasis	BIOLOGICAL_PROCESS	0.036695765	2.85E-04	Nacional
GO:0000166	nucleotide binding	MOLECULAR_FUNCTION	0.03690512	2.89E-04	Nacional
GO:1901265	nucleoside phosphate binding	MOLECULAR_FUNCTION	0.037205926	2.93E-04	Nacional
GO:0032870	cellular response to hormone stimulus	BIOLOGICAL_PROCESS	0.037576898	2.99E-04	Nacional
GO:0009414	response to water deprivation	BIOLOGICAL_PROCESS	0.037576898	3.00E-04	Nacional
GO:0036094	small molecule binding	MOLECULAR_FUNCTION	0.038336355	3.10E-04	Nacional
GO:0001666	response to hypoxia	BIOLOGICAL_PROCESS	0.038336355	3.09E-04	Nacional
GO:0080089	sinapoyl spermidine:sinapoyl CoA N-acyltransferase activity	MOLECULAR_FUNCTION	0.038828979	3.16E-04	Nacional
GO:0010243	response to organonitrogen compound	BIOLOGICAL_PROCESS	0.039279346	3.22E-04	Nacional
GO:1901698	response to nitrogen compound	BIOLOGICAL_PROCESS	0.039781183	3.28E-04	Nacional
GO:0016746	transferase activity, transferring acyl groups	MOLECULAR_FUNCTION	0.040381445	3.35E-04	Nacional
GO:0019725	cellular homeostasis	BIOLOGICAL_PROCESS	0.040670141	3.44E-04	Nacional
GO:0042542	response to hydrogen peroxide	BIOLOGICAL_PROCESS	0.040670141	3.40E-04	Nacional
GO:0071840	cellular component organization or biogenesis	BIOLOGICAL_PROCESS	0.040670141	3.44E-04	Nacional
GO:0048367	shoot system development	BIOLOGICAL_PROCESS	0.042445562	3.63E-04	Nacional
GO:0023052	signaling	BIOLOGICAL_PROCESS	0.042445562	3.63E-04	Nacional
GO:0016043	cellular component organization	BIOLOGICAL_PROCESS	0.049348271	4.32E-04	Nacional
GO:0002254	kinin cascade	BIOLOGICAL_PROCESS	0.049348271	4.35E-04	Nacional
GO:0002353	plasma kallikrein-kinin cascade	BIOLOGICAL_PROCESS	0.049348271	4.35E-04	Nacional
GO:0002154	thyroid hormone mediated signaling pathway	BIOLOGICAL_PROCESS	0.049348271	4.35E-04	Nacional
GO:0002155	regulation of thyroid hormone mediated signaling pathway	BIOLOGICAL_PROCESS	0.049348271	4.35E-04	Nacional
GO:0048037	cofactor binding	MOLECULAR_FUNCTION	0.049873124	4.43E-04	Nacional
GO:0009901	anther dehiscence	BIOLOGICAL_PROCESS	0.049873124	4.45E-04	Nacional
GO:0002094	polyprenyltransferase activity	MOLECULAR_FUNCTION	7.96E-05	4.16E-09	Nanay
GO:0016094	polyprenol biosynthetic process	BIOLOGICAL_PROCESS	0.003904315	4.08E-07	Nanay
GO:0010202	response to low fluence red light stimulus	BIOLOGICAL_PROCESS	0.00630478	9.88E-07	Nanay
GO:0016093	polyprenol metabolic process	BIOLOGICAL_PROCESS	0.041605032	9.72E-06	Nanay
GO:0004659	prenyltransferase activity	MOLECULAR_FUNCTION	0.041605032	1.74E-05	Nanay
GO:1904423	dehydrodolichyl diphosphate synthase complex	CELLULAR_COMPONENT	0.041605032	1.59E-05	Nanay
GO:0045547	dehydrodolichyl diphosphate synthase activity	MOLECULAR_FUNCTION	0.041605032	1.59E-05	Nanay
GO:0007275	multicellular organism development	BIOLOGICAL_PROCESS	0.041605032	1.22E-05	Nanay
GO:0005886	plasma membrane	CELLULAR_COMPONENT	0.043316183	2.49E-05	Nanay
GO:1900140	regulation of seedling development	BIOLOGICAL_PROCESS	0.043316183	2.08E-05	Nanay
GO:0071944	cell periphery	CELLULAR_COMPONENT	0.043316183	2.43E-05	Nanay
GO:0032502	developmental process	BIOLOGICAL_PROCESS	0.04451225	2.79E-05	Nanay
GO:0090351	seedling development	BIOLOGICAL_PROCESS	0.047999356	3.76E-05	Nanay
GO:0048856	anatomical structure development	BIOLOGICAL_PROCESS	0.047999356	3.54E-05	Nanay
GO:0032501	multicellular organismal process	BIOLOGICAL_PROCESS	0.047999356	3.54E-05	Nanay
